"SubjectID","Set","ActivityName","SignalSource","Function","Axis","MeasurementValue"
1,"TRAIN","LAYING","tBodyAcc","mean","X",-0.36120533
1,"TRAIN","LAYING","tBodyAcc","mean","X",-0.27706634
1,"TRAIN","LAYING","tBodyAcc","mean","X",-0.23910256
1,"TRAIN","LAYING","tBodyAcc","mean","X",-0.16642569
1,"TRAIN","LAYING","tBodyAcc","mean","X",-0.083287063
1,"TRAIN","LAYING","tBodyAcc","mean","X",-0.066238871
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.019016151
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.18047854
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.20896421
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.24389788
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.2574765
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.2591151
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.26865095
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27302712
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27575263
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27588359
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27603949
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27652699
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27655526
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27672941
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27676588
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27683965
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27714164
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27783021
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27800654
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27812334
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27831632
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27837321
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27885089
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27890115
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27903686
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27937115
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27957476
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.27972834
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.2802064
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.2816654
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.28182774
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.28202074
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.28347732
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.28526329
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.28809417
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.29230775
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.30005315
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.30383319
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.31932383
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.32588645
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.3402085
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.34696848
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.39365355
1,"TRAIN","LAYING","tBodyAcc","mean","X",0.40347433
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.68409659
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.41386534
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.26812111
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.11935251
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.096904391
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.042535659
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.036452984
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.027628987
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.02714766
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.024865202
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.023633221
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.022759306
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.022742569
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.020560964
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.018626474
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.01839626
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.018087248
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.01806797
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.018060289
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.018048727
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017985103
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.01786855
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017814424
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.01780317
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017684054
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017644953
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017589649
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017570074
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017357172
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017275722
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017209548
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.017146303
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.0168191
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.016788627
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.016669682
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.016544181
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.016150309
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.01600381
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.015074404
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.010196757
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.008888811
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.0075244582
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.0070373566
1,"TRAIN","LAYING","tBodyAcc","mean","Y",-0.00692865
1,"TRAIN","LAYING","tBodyAcc","mean","Y",0.00081689933
1,"TRAIN","LAYING","tBodyAcc","mean","Y",0.010297707
1,"TRAIN","LAYING","tBodyAcc","mean","Y",0.016430154
1,"TRAIN","LAYING","tBodyAcc","mean","Y",0.069408647
1,"TRAIN","LAYING","tBodyAcc","mean","Y",0.07922905
1,"TRAIN","LAYING","tBodyAcc","mean","Y",0.1036482
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-1
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.51608391
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.28056106
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.24533103
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.20082552
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.18227212
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.16644945
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.13505802
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.12592376
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.1231748
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.12024506
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.12013176
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.11816739
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.11115339
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.11073427
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.11041766
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10948053
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10935435
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10928717
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10901088
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10897656
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10896485
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10882921
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10840311
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10818389
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10818111
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10801374
